"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2017","0.052100","0.058400","0.058590","0.052000","818.74K","-10.79%"
"May 07, 2017","0.058400","0.060490","0.062200","0.055500","576.89K","-3.46%"
"May 06, 2017","0.060490","0.059300","0.060750","0.057500","450.71K","2.01%"
"May 05, 2017","0.059300","0.061500","0.063010","0.056500","1.17M","-3.58%"
"May 04, 2017","0.061500","0.053120","0.063100","0.052340","1.17M","15.78%"
"May 03, 2017","0.053120","0.052520","0.054610","0.050770","547.69K","1.14%"
"May 02, 2017","0.052520","0.053000","0.055000","0.049130","834.19K","-0.91%"
"May 01, 2017","0.053000","0.058240","0.060500","0.048600","1.59M","-9.00%"
"Apr 30, 2017","0.058240","0.051400","0.058900","0.051400","934.90K","13.31%"
"Apr 29, 2017","0.051400","0.053460","0.054500","0.049650","731.25K","-3.85%"
"Apr 28, 2017","0.053460","0.047260","0.054500","0.046610","1.61M","13.12%"
"Apr 27, 2017","0.047260","0.041040","0.047490","0.040510","1.31M","15.16%"
"Apr 26, 2017","0.041040","0.039120","0.041800","0.039000","604.83K","4.91%"
"Apr 25, 2017","0.039120","0.039900","0.040080","0.038900","174.37K","-1.95%"
"Apr 24, 2017","0.039900","0.039200","0.040490","0.039190","314.01K","1.79%"
"Apr 23, 2017","0.039200","0.038960","0.039580","0.038300","179.09K","0.62%"
"Apr 22, 2017","0.038960","0.038640","0.039850","0.038450","198.32K","0.83%"
"Apr 21, 2017","0.038640","0.039840","0.039860","0.038140","260.83K","-3.01%"
"Apr 20, 2017","0.039840","0.039250","0.040350","0.038440","490.47K","1.50%"
"Apr 19, 2017","0.039250","0.041360","0.042100","0.036280","425.73K","-5.10%"
"Apr 18, 2017","0.041360","0.040100","0.041960","0.039660","310.93K","3.14%"
"Apr 17, 2017","0.040100","0.041000","0.041250","0.038400","274.67K","-2.20%"
"Apr 16, 2017","0.041000","0.041500","0.041620","0.040340","192.98K","-1.20%"
"Apr 15, 2017","0.041500","0.040130","0.043000","0.039310","462.18K","3.41%"
"Apr 14, 2017","0.040130","0.042500","0.042670","0.039030","584.86K","-5.58%"
"Apr 13, 2017","0.042500","0.038110","0.044000","0.037960","972.05K","11.52%"
"Apr 12, 2017","0.038110","0.035690","0.040700","0.035560","582.95K","6.78%"
